Site,Latitude,Longitude
psc-2017-07-site7,24.797049370967102,-112.09486131261201
psc-2017-07-site3,24.8024476017033,-112.114589921839
psc-2017-07-site6,24.79493284767799,-112.18143401557215
psc-2017-07-site5,24.791084198490985,-112.18776451479367
psc-2017-07-site1,24.8010570421986,-112.110954609557
psc-2017-07-site4,24.8034400473051,-112.10274302150799
psc-2017-07-site2,24.79364348413935,-112.11564702746895
psc-2018-05-site03-04,24.7979444788103,-112.09529453071049
psc-2018-05-site12,24.785276643722103,-112.085501893892
psc-2018-05-combined-sites-01-04,2744545.5,384873.0
psc-2018-05-site13-14,24.7825155554456,-112.094090767036
psc-2018-05-site09,24.7936792871419,-112.11595903032
psc-2018-05-site03,24.7973380461953,-112.09452448395601
psc-2018-05-site05-07,24.802217478470002,-112.100943325836
psc-2018-05-site08,24.7978637963722,-112.109799682447
psc-2018-05-site01,24.7995817279369,-112.09292699356399
psc-2018-05-site04,24.7991669839179,-112.096165674617
psc-2018-05-site10-11,24.7926409898116,-112.08301183398
lap-2018-07-site5,24.250164999999992,-110.31378499999995
lap-2018-07-site4,24.230520000000002,-110.30660999999994
lap-2018-07-site6,24.2599746082849,-110.310947194398
lap-2018-07-site1,24.1740288048816,-110.434698820931
psc_2018-07_site09,24.7809857722162,-112.07384164428349
psc_2018-07_site10,24.8040493762765,-112.08973121846499
psc_2018-07_site08,24.7862278284324,-112.078523975638
psc_2018-07_site11,24.802326340942802,-112.10083162646
psc_2018-07_site05,24.249987516251597,-110.3137606147975
skr_2019-05_site14,18.985517943858127,-87.62875833859532
skr_2019-05_site15,19.0891187578154,-87.55382574118781
skr_2019-05_site01,20.057951050082803,-87.48326959431941
skr_2019-05_site10,19.77364062058835,-87.58825401524794
skr_2019-05_site04,20.007983857794407,-87.481394961018
lap_2019-07_site01,24.1741685087506,-110.43503874516601
lap_2019-07_site05,24.2601468266344,-110.31204580247099
lap_2019-07_site06,24.3223712184085,-110.32136702351549
lap_2019-07_site03,24.230111022056402,-110.306481156165
